price,Empfohlenes Alter in Jahren (mind.),Anzahl Teile,Verpackungsbreite,Verpackungstiefe,Verpackungshöhe,Ursprungsland_ Ungarn ,Ursprungsland_ China ,Ursprungsland_ Tschechische Republik ,LegoCategory_Rare,LegoCategory_LEGO City ,LegoCategory_LEGO Duplo ,LegoCategory_LEGO Star Wars ,LegoCategory_LEGO Super Mario ,LegoCategory_LEGO Friends 
269.0,18.0,2708.0,582.0,480.0,124.0,0,0,1,1,0,0,0,0,0
54.95,8.0,479.0,262.0,382.0,56.5,0,0,1,1,0,0,0,0,0
84.95,18.0,766.0,354.0,191.0,118.0,1,0,0,0,0,0,1,0,0
46.95,4.0,137.0,191.0,262.0,61.0,0,1,0,1,0,0,0,0,0
119.0,18.0,1197.0,282.0,480.0,74.0,0,1,0,1,0,0,0,0,0
169.0,14.0,1901.0,378.0,582.0,87.0,0,0,1,1,0,0,0,0,0
42.95,6.0,117.0,262.0,282.0,59.0,0,1,0,0,1,0,0,0,0
10.95,4.0,1.0,308.0,260.0,3.0,0,0,0,1,0,0,0,0,0
36.95,7.0,475.0,191.0,354.0,70.0,0,0,1,1,0,0,0,0,0
74.95,6.0,354.0,262.0,317.0,90.0,0,1,0,0,0,0,0,1,0
24.95,2.0,23.0,262.0,282.0,95.5,0,1,0,0,0,1,0,0,0
39.95,8.0,297.0,61.0,191.0,262.0,0,0,1,1,0,0,0,0,0
59.95,9.0,422.0,262.0,382.0,70.5,0,1,0,1,0,0,0,0,0
119.0,7.0,915.0,378.0,480.0,94.0,0,0,1,0,1,0,0,0,0
109.0,18.0,590.0,354.0,191.0,91.0,0,0,0,1,0,0,0,0,0
24.95,7.0,258.0,191.0,262.0,61.0,0,0,1,1,0,0,0,0,0
119.0,18.0,1445.0,282.0,480.0,91.0,0,0,1,1,0,0,0,0,0
159.0,18.0,979.0,480.0,378.0,112.0,1,0,0,1,0,0,0,0,0
17.95,7.0,230.0,141.0,262.0,48.0,0,0,1,1,0,0,0,0,0
269.0,18.0,2585.0,480.0,378.0,112.0,0,0,1,1,0,0,0,0,0
18.95,6.0,138.0,191.0,141.0,46.0,0,0,1,1,0,0,0,0,0
169.0,9.0,1159.0,378.0,582.0,87.0,0,0,1,1,0,0,0,0,0
24.95,2.0,23.0,191.0,262.0,72.0,0,1,0,0,0,1,0,0,0
18.95,8.0,128.0,141.0,191.0,46.0,0,1,0,1,0,0,0,0,0
46.95,8.0,304.0,222.0,262.0,76.0,0,0,1,1,0,0,0,0,0
36.95,6.0,336.0,191.0,354.0,70.0,0,1,0,0,0,0,0,0,1
74.95,6.0,280.0,262.0,317.0,90.0,0,1,0,0,0,0,0,1,0
46.95,7.0,243.0,262.0,382.0,70.5,0,0,1,1,0,0,0,0,0
42.95,5.0,261.0,191.0,354.0,70.0,0,0,1,0,1,0,0,0,0
74.95,2.0,61.0,378.0,480.0,94.0,0,0,0,0,0,1,0,0,0
74.95,9.0,840.0,378.0,354.0,70.5,0,0,1,1,0,0,0,0,0
46.95,8.0,300.0,191.0,354.0,59.0,0,0,1,1,0,0,0,0,0
54.95,9.0,581.0,191.0,354.0,70.0,0,0,1,1,0,0,0,0,0
119.0,2.0,112.0,480.0,582.0,124.0,0,1,0,0,0,1,0,0,0
